tstamp, x, y
10	473	500
38	444	497
39	444	497
54	417	493
69	392	489
84	378	486
99	370	485
114	369	485
130	367	485
144	364	486
160	362	486
174	359	486
190	357	486
205	356	487
220	354	487
235	349	486
250	345	484
264	338	481
280	334	479
295	321	471
310	317	467
325	317	467
339	317	467
354	317	467
370	317	467
385	317	467
400	317	467
414	316	466
429	324	465
444	339	460
459	355	457
474	370	455
489	387	455
504	398	455
519	422	457
534	444	460
558	478	466
565	488	468
579	509	472
594	531	476
609	555	482
624	581	486
639	592	488
655	603	488
669	605	488
684	605	488
699	605	488
714	605	488
730	605	488
744	605	488
760	605	488
774	605	488
789	605	488
804	605	488
819	605	488
835	605	488
849	605	488
864	605	488
880	605	488
894	605	488
910	605	488
924	605	488
940	605	488
954	605	488
970	605	488
984	605	488
999	603	489
1014	585	491
1030	551	495
1045	517	498
1059	470	505
1076	429	505
1089	422	500
1104	422	500
1119	422	500
1135	422	500
1149	422	500
1164	422	500
1180	422	500
1195	422	500
1209	422	500
1224	422	500
1240	422	500
1255	422	500
1269	422	498
1284	423	493
1300	423	493
1315	423	493
1329	423	493
1344	423	493
1360	423	493
1375	423	493
1389	423	493
1404	422	494
1419	421	494
1434	420	494
1449	418	494
1464	417	494
1479	415	494
1494	410	494
1509	404	494
1524	398	494
1539	389	493
1554	385	493
1569	377	492
1584	372	491
1599	369	489
1614	368	489
1629	364	488
1644	364	488
1659	361	487
1674	361	487
1689	361	487
1704	361	487
1719	361	487
1734	361	487
1749	361	487
1764	361	487
1779	359	486
1794	359	486
1809	362	486
1824	366	486
1839	375	484
1854	383	483
1869	402	479
1884	447	479
1899	541	472
1915	634	446
1929	687	427
1944	698	422
1959	698	422
1974	696	420
1989	689	419
2004	663	415
2019	628	419
2034	592	425
2049	554	434
2065	512	439
2079	493	439
2096	459	444
2109	418	446
2124	364	451
2139	300	457
2154	239	462
2169	205	468
2184	201	468
2199	201	468
2214	201	468
2229	201	468
2245	201	468
2259	200	469
2274	201	470
2289	207	472
2304	212	473
2319	219	474
2334	224	475
2349	229	475
2364	234	475
2379	236	476
2394	239	476
2409	246	477
2424	252	478
2439	273	482
2454	291	486
2469	301	489
2484	314	491
2499	325	492
2514	337	496
2529	344	498
2544	346	499
2559	350	500
2575	350	500
2590	350	500
2604	349	501
2619	341	502
2634	318	504
2649	285	508
2664	267	510
2679	232	512
2694	193	512
2709	140	517
2724	82	517
2747	1	517
2754	0	521
2769	0	524
2785	0	526
2799	2	532
2814	24	555
2830	104	598
2844	268	649
2859	493	686
2874	768	710
2889	1033	698
2905	1158	648
2919	1177	625
2934	1179	597
2949	1138	546
2964	980	443
2980	760	343
2994	540	293
3015	345	293
3024	247	300
3047	60	347
3054	52	354
3069	50	359
3084	50	359
3099	51	361
3114	55	362
3129	59	364
3144	60	365
3159	61	366
3174	61	367
3198	70	385
3204	75	396
3220	98	418
3235	117	434
3250	141	448
3264	165	460
3280	177	461
3295	200	465
3310	225	467
3325	248	469
3339	268	471
3354	276	471
3369	280	472
3384	286	475
3400	290	476
3415	295	478
3430	300	479
3445	306	483
3460	328	492
3474	353	504
3489	388	517
3504	418	522
3519	430	524
3534	437	524
3549	437	524
3565	438	523
3580	440	519
3595	442	515
3610	449	510
3624	455	504
3640	458	500
3655	462	493
3684	465	478
3687	465	478
3717	455	411
3733	442	382
3748	429	369
3762	413	360
3778	406	360
3792	392	362
3807	382	365
3823	351	370
3837	319	375
3853	293	377
3867	293	377
3883	293	379
3898	296	382
3912	302	383
3928	305	384
3942	305	384
3957	305	384
3973	306	383
3988	305	381
4002	304	380
4017	300	375
4032	297	368
4047	297	368
4062	297	368
4078	297	368
4093	297	368
4108	297	368
4123	297	368
4138	297	368
4153	297	368
4168	297	368
4183	297	368
4198	297	368
4213	297	368
4227	297	368
4242	297	368
4257	297	368
4272	297	368
4287	297	368
4302	297	368
4317	297	368
4332	297	368
4347	297	368
4362	297	368
4377	297	368
4392	297	368
4407	297	368
4422	297	368
4437	297	368
4452	297	368
4467	297	368
4482	297	368
4498	297	368
4512	297	368
4527	297	368
4542	297	368
4557	297	368
4573	297	368
4588	297	368
4602	297	368
4617	297	368
4633	297	368
